likes,about_post,date
"4,361,898 views","virat.kohli
Verified
I am proud to support the launch of The @earthshotprize 👍🏻.

It is the most prestigious global environment prize in history, incentivising worldwide change with a decade of action to repair our planet 🌍.
@kensingtonroyal

Follow @earthshotprize to find out more.
6w",OCTOBER 8
"3,994,386 views","virat.kohli
Verified
Hey guys, I am happy to share one of my health hacks with you, #Wellman! It has been my daily supplement for more than 3 years now and with just one Wellman Tablet every day, I am able to boost my energy, support my immune system and get all the necessary nutrients that my body really needs. 💪🏼

So get yours now and never compromise on what you feed your body and mind. 👊🏼

#tablets #vitabiotics @wellmanin
6w",OCTOBER 7
"2,375,504 likes","virat.kohli
Verified
Happy bday hulk 🥳 Had to post this one again for your bday because you're always grumpy and never take pictures 😂 @buntysajdeh
6w",OCTOBER 6
"2,889,624 views","virat.kohli
Verified
Fire on ice, these boots from @pumaindia mean serious business 😏 #one8 #playtoslay #IPL2020 @one8world
6w",OCTOBER 4
"3,441,735 likes","virat.kohli
Verified
Solid team effort. Let's keep working hard. 💪💪 @royalchallengersbangalore #PlayBold
6w",OCTOBER 3
"3,040,083 likes","virat.kohli
Verified
The most special thing about sport is the friendship and mutual respect you share with your teammates along your journey.
Sport is beautiful 😇
7w",OCTOBER 1
"2,054,599 views","virat.kohli
Verified
I’m thrilled to announce that Wrogn, is now available in the UAE and Saudi Arabia 🙌! So, guys, get on the WROGN side with me! Hit the link in my bio and check out the entire collection today. 👍😉
#StayMad #StayWrogn @staywrogn
7w",SEPTEMBER 30
"3,019,935 views","virat.kohli
Verified
#MyCovidHeroes

Royal Challenge Sports Drinks celebrates the challenger spirit of those who rose to incredible challenges to pull off extraordinary feats.👍🏻 This year we don’t just play for pride and glory. We play to tell their stories. #MyCovidHeroes #WeAreChallengers @rcchallengeaccepted @royalchallengersbangalore
7w",SEPTEMBER 29
"3,737,371 likes","virat.kohli
Verified
Thrilling game of cricket. Proud of the character shown by the team. 💪💪 @royalchallengersbangalore #PlayBold
7w",SEPTEMBER 29
"2,354,788 likes","virat.kohli
Verified
Unity is the vehicle, desire is the fuel.
7w",SEPTEMBER 26
"2,088,511 views","virat.kohli
Verified
Play your best, the #one8 way. 😉 #one8 fragrances, your secret to confidence!
Go get them today! #LinkInBio @scentials_world @one8world
7w",SEPTEMBER 26
"10,023,359 views","virat.kohli
Verified
Putting in some daily work to prepare for this heat 🔥. Btw pls tag and ask @tipo_morris why he's making those sounds in the background 😂.
8w",SEPTEMBER 23
"3,932,188 likes","virat.kohli
Verified
👍🕘
8w",SEPTEMBER 23
"3,441,660 views","virat.kohli
Verified
I'm glad that cricket is back, 🙌 and here's how you can double the excitement with @plaympl ! Grab The MPL Rs. 99 T20 Season Ticket, and get free entry in contests for every match for the full tournament! Available for a limited time, so visit the link in bio and get your ticket today!😉
8w",SEPTEMBER 22
"3,660,210 likes","virat.kohli
Verified
Off to a great start. Well done lads. We march on 💪💪 #PlayBold @royalchallengersbangalore
8w",SEPTEMBER 22
"2,632,001 likes","virat.kohli
Verified
Brothers in the air 😃 @abdevilliers17
8w",SEPTEMBER 19
"4,513,150 views","virat.kohli
Verified
#Repost @googleindia
@anushkasharma and I never miss a moment to get together with our close ones, even while staying apart. ❤️
8w",SEPTEMBER 19
"5,840,515 views","virat.kohli
Verified
The new RCB Anthem is here! 👊🏼

It celebrates our fans, who we proudly call our 12th Man, and emphasises on the #PlayBold attitude & the Challenger Spirit that we believe in. Can’t wait to get on the field! 😎

#RCB #WeAreChallengers
8w",SEPTEMBER 18
"3,515,812 views","virat.kohli
Verified
Presenting my signature style, for the #SELFMADE✌🏼

I have teamed up with @philipsindia to celebrate the stories of Indians who are #SelfMade 👊🏼

Everyone has a story, so share yours by posting your picture tagging @philipsindia and me to get a chance to get featured on their Instagram page.

Inspire the world with your success stories. 🙌🏼
9w",SEPTEMBER 17
"4,556,503 likes","virat.kohli
Verified
A proper day at the pool yesterday 😃🏊
9w",SEPTEMBER 16
"2,776,797 likes","virat.kohli
Verified
Focus 👁️🎯
9w",SEPTEMBER 14
"2,955,387 views","virat.kohli
Verified
Jo seekhta hai, wahi career me aage badta hai.👍🏻

I'm excited to partner with @greatlearningofficial , India's leading provider for online professional & higher education. Log onto Great Learning and power your career with online programs from the world's best universities. Check the Link in Bio.

#ViratForGreatLearning #ViratOnCareers #PowerAhead
9w",SEPTEMBER 14
"2,835,267 likes","virat.kohli
Verified
When you're having fun, each moment becomes magical @royalchallengersbangalore
9w",SEPTEMBER 12
"8,412,369 views","virat.kohli
Verified
It's the small details that matter 👌. For me even couple of centimeters are crucial for the balance of a bat. I LOVE taking care of my bats 😍
9w",SEPTEMBER 11
"2,781,067 views","virat.kohli
Verified
Wrogn Footwear just launched on @flipkart and I’m really excited to share this with you guys! 🤩

Hit the link in my bio and get ready to get your #WrognFootForward! @staywrogn
10w",SEPTEMBER 10
"3,154,071 views","virat.kohli
Verified
Another productive day training. 🏏A few days more. ⏳
10w",SEPTEMBER 9
"1,769,001 likes","virat.kohli
Verified
Off to a great start with @one8.innerwear 💪

Check the entire collection today.
🄻🄸🄽🄺 🄸🄽 🄱🄸🄾

@one8world #one8
10w",SEPTEMBER 7
"2,830,809 likes","virat.kohli
Verified
⚽😁😃 @royalchallengersbangalore
10w",SEPTEMBER 7
"2,777,149 likes","virat.kohli
Verified
A teacher gives you many valuable lessons in your journey. Forever grateful for the ones I got from my coach Mr. Rajkumar Sharma 🙌😇. Happy Teacher's Day to all the teachers who've guided their students in their journeys.
10w",SEPTEMBER 5
"3,129,240 views","virat.kohli
Verified
The spirit of performance... bottled!
Amazing combos. Shot down prices. 👌

Get them now! #linkinbio

@flipkart @scentials_world #one8fragrances
10w",SEPTEMBER 5
"5,017,155 views","virat.kohli
Verified
Nothing like a proper cricketing shot⚡
11w",SEPTEMBER 3
"3,038,377 likes","virat.kohli
Verified
Proper session + proper humidity + great recovery = 😁 @royalchallengersbangalore
11w",SEPTEMBER 3
"3,740,744 views","virat.kohli
Verified
We may be challengers on-the-field, but who are the real challengers off the field? Stay tuned to know more!

#WeAreChallengers #ChallengeAccepted #RealChallengers @rcchallengeaccepted
11w",SEPTEMBER 3
"2,736,822 likes","virat.kohli
Verified
Wishing you a very Happy Birthday @ishant.sharma29 . Have a wonderful and successful year ahead. Enjoy the day. 🎂🎉
11w",SEPTEMBER 2
"3,391,833 likes","virat.kohli
Verified
Another top session last night. 👊😃
@royalchallengersbangalore
11w",SEPTEMBER 1
"4,763,498 views","virat.kohli
Verified
India, we got this right? Upload a picture or video of yourself playing a sport, working out or anything that you feel shows your sporting spirit; with #UnitedInSport and tag @pumaindia . 🙌🏼 Send in your best entries to win amazing PUMA gear. 🤩
11w",AUGUST 30
"2,156,203 likes","virat.kohli
Verified
Simply the greatest there ever is 🙏 #NationalSportsDay #1936 #UnitedinSport #India #Gold
11w",AUGUST 29
"5,414,113 likes","virat.kohli
Verified
Been 5 months since the last time I stepped onto the field. Felt like 6 days when I got into the nets 😃. Great first session with the boys 👊@royalchallengersbangalore
11w",AUGUST 29
"15,041,488 views","virat.kohli
Verified
Situations change but your missions don’t 🎯. Check out @one8.innerwear from the Link in Bio 😉
12w",AUGUST 28
"11,767,705 likes","virat.kohli
Verified
And then, we were three! Arriving Jan 2021 ❤️🙏
12w",AUGUST 27
"5,056,953 likes","virat.kohli
Verified
Minions and a view. Can't be wrogn 😉😃
12w",AUGUST 24
"2,178,913 likes","virat.kohli
Verified
It is time to step up and do our bit for the ones in need. Register yourself for INDIA RUN AS ONE initiative on in.puma.com today.👍🏻

You can also get your gear from the India Run as One collection at your nearest PUMA store, in.puma.com and @flipkart

@pumaindia #MoveForGood #Livelihoodsmatter #PUMARunForGood
12w",AUGUST 23
"5,919,100 likes","virat.kohli
Verified
Hello Dubai 😁🕘👀
12w",AUGUST 21
"4,889,154 views","virat.kohli
Verified
Guys, the Wrogn x Minions collection is here and it’s #PHENOMINION! 👌

Don’t believe me? Hit the link in my bio and see for yourselves! 😉

#staymad #staywrogn @staywrogn
13w",AUGUST 21
"8,882,707 views","virat.kohli
Verified
Ready. Let's Go!! 👊 @one8world #Throwback
13w",AUGUST 20
"4,575,083 likes","virat.kohli
Verified
12 years. Time flies. Forever grateful 🇮🇳
13w",AUGUST 18
"11,300,004 views","virat.kohli
Verified
Thank you for these moments skip.

I couldn't explain the mutual trust, respect and understanding we share better than these two videos I'm posting here today.
The first one explains perfectly well who he is , selfless in the most intense moments.
The second one is about the kind of trust & chemistry we had over the years while batting together. In this moment I was only focused on his call & I knew we both would be able to make those 2 runs because of the trust we shared in one another. He called & I put my head down and ran !
Mutual respect and understanding isn't a thing of chance, it develops naturally when two individuals are aligned & have the same vision and for us, that vision was always to make India win ! Thank you for all these memories skip. 🇮🇳💙@mahi7781

video credit- @starsportsindia @icc
13w",AUGUST 16
"7,232,773 likes","virat.kohli
Verified
Every cricketer has to end his journey one day, but still when someone you've gotten to know so closely announces that decision, you feel the emotion much more. What you've done for the country will always remain in everyone's heart, but the mutual respect and warmth I've received from you will always stay in mine. The world has seen achievements, I've seen the person. Thanks for everything skip. I tip my hat to you 👏🇮🇳 @mahi7781
13w",AUGUST 15
"4,393,103 likes","virat.kohli
Verified
Wishing everyone a Happy Independence Day! 🇮🇳 God bless our great nation and its countrymen especially the ones who are away from their families, fighting on the front lines to keep us safe. Jai Hind.
13w",AUGUST 15
"14,578,137 views","virat.kohli
Verified
#TakeABreak

Find out who knows who better, in this fun and interactive #TakeABreak session with us. Hope you guys enjoy it and figure out who the winner is because I couldn't! 🤭 @anushkasharma ❤️ @instagram
14w",AUGUST 12
"1,464,414 likes","virat.kohli
Verified
It's here, it's yellow and it's Phenominion! 😀

Guys, I’m so excited to announce the Wrogn x Minions collection. I love each and every style and I’m sure you will too. Hit the link in my bio now to check it out! 👍🏻

@staywrogn #staymad #staywrogn #Phenominion
14w",AUGUST 11
"5,632,532 views","virat.kohli
Verified
Loyalty above everything. Can't wait for what's to come. 🕘
14w",AUGUST 9
"7,481,691 views","virat.kohli
Verified
🏋🏻 @one8world
14w",AUGUST 8
"3,118,376 views","virat.kohli
Verified
Wear your vibe with #one8fragrances.🕴️
Get them on #FlipkartBigSavingDays from 6th to11th of August!

#linkinbio @flipkart @scentials_world
15w",AUGUST 6
"3,766,718 likes","virat.kohli
Verified
⏳🕘.
15w",AUGUST 4
"4,171,758 likes","virat.kohli
Verified
If you're true to yourself, you won't fear anything.
15w",AUGUST 1
"3,942,417 views","virat.kohli
Verified
#WeAreTogetherForAssamAndBihar

Our countrymen need us in these troubled times. Let's do our part in helping them.
@cornerstoneway @theawarefoundation
15w",JULY 31
"2,014,274 likes","virat.kohli
Verified
#WeAreTogetherForAssamAndBihar

Our countrymen need us in these troubled times. Let's do our part in helping them.
@cornerstoneway @theawarefoundation
15w",JULY 30
"4,764,525 likes","virat.kohli
Verified
Throwback to when you could just climb up a tree and chill 🤙😃
16w",JULY 28
"5,452,021 views","virat.kohli
Verified
Restock and recharge!
Your favourite one8 perfume pocket sprays now available! 😎 #linkinbio @scentials_world
16w",JULY 27
"7,452,390 views","virat.kohli
Verified
😉👌👍 #Throwback
16w",JULY 26
"1,879,877 likes","virat.kohli
Verified
An electrifying catch ⚡ ⚡ ⚡, this shoe is dialed 🆙 to turn the match on its head #one8 @pumaindia
17w",JULY 24
"3,398,929 likes","virat.kohli
Verified
2008 🤜🤛2020
.
With many learnings along the way, I'm grateful for your love and support you guys have shown me. ♥️ Here's to the #1000thPost
17w",JULY 23
"3,666,896 views","virat.kohli
Verified
NEVER HAVE I EVER.
.
.
.
.
.
.
.
Missed a workout (at home).😎 As your kids stay home and continue learning, it's important that they stay fit as well. The last assignment from #CampGoogle2020 is here! Just make sure your child completes their assignments before July 25th... and they might just get a chance to have a virtual meet and greet with me. Head to the link in bio. @googleindia
17w",JULY 22
"2,548,211 views","virat.kohli
Verified
Animal endangerment is a pressing issue and I know it bothers all of us! How ‘bout we wear our cause and wear it with pride? What’s say guys? 😊 Check out the Wrogn Collection on Wildlife in the link in my bio and wear your cause, like I am! @staywrogn
17w",JULY 21
"3,997,421 likes","virat.kohli
Verified
🌅
17w",JULY 20
"876,976 likes","virat.kohli
Verified
Super excited to meet the young campers of #CampGoogle2020! 😃 If your kid isn’t a part of Camp Google yet, head over to the website and get started on all the fun-tastic learning assignments they have in store. And when the assignments are all in place, we might just get to exchange a few stories over a video call! 😊 Get started, now. Head to the link in bio.. @googleindia
18w",JULY 15
"3,020,951 likes","virat.kohli
Verified
Keep MUVING 🏃 @muveacoustics_
18w",JULY 13
"3,565,410 likes","virat.kohli
Verified
A kind neighbour who lives 500 m away from us brought us some home made neer dosas and made us smile. A big Thank you to your mom amigo we haven't had such delicious dosas for a longgg time. Hope you enjoyed the mushroom biriyani we sent back. 😃 Good man @shreyas41 . P.S- these are the new picture norms with social distancing 🤙😎
19w",JULY 8
"4,096,968 likes","virat.kohli
Verified
Happy b'day Mahi bhai. Wish you good health and happiness always. God bless you 🙏😃
19w",JULY 7
"8,609,976 views","virat.kohli
Verified
If I had to make a choice of one exercise to do everyday, this would be it. Love the power snatch 💪😃
19w",JULY 3
"10,200,757 views","virat.kohli
Verified
Hey H @hardikpandya93 loved your fly push ups 💪😎. Here's adding a little clap to it 😉.
20w",JULY 2
"2,275,024 likes","virat.kohli
Verified
Throwback to this very special and important test in our journey as the test team that we are today. Adelaide 2014 was a game filled with emotion on both sides and an amazing one for people to watch too. Although we didn't cross the line being so close, it taught us that anything is possible if we put our mind to it because we committed to doing something which seemed very difficult to begin with but almost pulled it off. All of us committed to it. This will always remain a very important milestone in our journey as a test side. 🇮🇳💙
20w",JUNE 30
"4,501,434 views","virat.kohli
Verified
Do try this at home! 😄
Link in bio #one8Fragrances
21w",JUNE 26
"1,515,607 likes","virat.kohli
Verified
Loved this moving story told in a brilliant way. Bhai behen on fire @anushkasharma @kans26 😃❤️. Out now, please don't miss it guys. @officialcsfilms
21w",JUNE 24
"3,104,152 likes","virat.kohli
Verified
Nothing comes close to playing an intense game in whites. What a blessing to be able to play test cricket for India. 🇮🇳💙
21w",JUNE 24
"2,006,342 views","virat.kohli
Verified
Here's what I'm doing when I'm not training. Gaming on the MPL App! 🤓 Play all your favourites out of more than 40 games available on the app and don't forget to create your Fantasy teams on @plaympl as well. 👊🏼 Download now. Link in Bio.
21w",JUNE 23
"3,198,813 likes","virat.kohli
Verified
Throwback to when you could go to such beautiful spots in nature. Just to be able to sit together and just soak it all in. With my one and only ❤️❤️❤️
21w",JUNE 22
"3,027,172 likes","virat.kohli
Verified
This father's day, I urge you all to be grateful for the love of your father but always look for your own path to move forward in life. You'll never have to look behind because they're always watching over you whether they're physically there or not. Happy father's day 😊💛
21w",JUNE 21
"4,176,550 likes","virat.kohli
Verified
Great weather in Mumbai. Sitting out enjoying the beginning of my first proper experience of Mumbai monsoon. Couldn't be a better time to start reading something. 🌧️📖
22w",JUNE 18
"2,487,107 likes","virat.kohli
Verified
No one is more brave than a soldier. Our deepest respect and prayers should be with them. We pray for their families that God gives them peace in these devastating times for them. 🙏
22w",JUNE 17
"1,294,816 likes","virat.kohli
Verified
Keeping myself fully charged ⚡⚡⚡ with the LQDCELL Hydra #one8. @pumaindia
22w",JUNE 14
"3,784,833 likes","virat.kohli
Verified
💭
23w",JUNE 12
"3,256,659 likes","virat.kohli
Verified
Don't be scared to be wrogn. 👊
23w",JUNE 11
"1,610,034 likes","virat.kohli
Verified
With the little monsters, GAME MODE is always 🔛. #one8kids @pumaindia
23w",JUNE 11
"4,002,330 views","virat.kohli
Verified
The Wrogn Throwaway Festival is live on Myntra.com
.
Go go go! Grab your favourite styles at flat 50% off! .
#LinkInBio #StayMad #StayWrogn @StayWrogn
23w",JUNE 8
"7,854,652 views","virat.kohli
Verified
Caption this! 💭
23w",JUNE 7
"1,960,797 likes","virat.kohli
Verified
Inspired by the love of the game 🏏, the Basket and Smash #one8 sneakers have a special place in my heart. #one8 @pumaindia Collection link in bio
24w",JUNE 5
"3,558,858 likes","virat.kohli
Verified
Appalled to hear about what happened in Kerala. Let's treat our animals with love and bring an end to these cowardly acts.
24w",JUNE 3
"3,179,166 views","virat.kohli
Verified
Throw🔙 to a fun shoot with @pumaindia for #one8

Can’t wait for you to see what we’ve created. Available to shop on https://go.puma.com/vk 👀. #BTS @pumaindia
24w",JUNE 2
0,"virat.kohli
Verified
Throw🔙 to a fun shoot with @pumaindia for #one8

Can’t wait for you to see what we’ve created. Available to shop on https://go.puma.com/vk 👀. #BTS @pumaindia
24w",not known
0,"virat.kohli
Verified
Throw🔙 to a fun shoot with @pumaindia for #one8

Can’t wait for you to see what we’ve created. Available to shop on https://go.puma.com/vk 👀. #BTS @pumaindia
24w",not known
"3,369,014 likes","virat.kohli
Verified
Throwback 👀
25w",MAY 24
"2,883,517 likes","virat.kohli
Verified
Love our chats . Good man @kane_s_w
26w",MAY 22
"7,591,470 views","virat.kohli
Verified
Earn it. Don't demand it.
26w",MAY 19
"2,521,998 likes","virat.kohli
Verified
No need to look back. As we move only one way - AHEAD.
26w",MAY 17
"2,748,456 likes","virat.kohli
Verified
Having watched the whole season of PAATAL LOK a while ago, I knew it's a masterpiece of story telling, screenplay and tremendous acting. Now having seen how people loved it too, just confirmed how I saw the show 👏👏. Proud of my love @anushkasharma for producing sucha gripping series and believing in her team along with our bhaiji @kans26 . Well done brother 😃🙏💯
26w",MAY 16
"2,347,861 likes","virat.kohli
Verified
Putting in the work is a way of life and not a requirement of profession. Choice is yours.
26w",MAY 15
0,"virat.kohli
Verified
Putting in the work is a way of life and not a requirement of profession. Choice is yours.
26w",not known
"3,298,146 likes","virat.kohli
Verified
Throwback To the soft winds , rustle of trees , touch of that winter snow .... All things we are eternally grateful for. Like we have always been 🙇‍♂️🙏❤️
27w",MAY 9
"3,655,729 likes","virat.kohli
Verified
🌅
27w",MAY 8
"2,575,031 likes","virat.kohli
Verified
Rest in peace my Bruno. Graced our lives with love for 11 years but made a connection of a lifetime. Gone to a better place today. God bless his soul with peace 🙏❤️
28w",MAY 6
"2,529,661 likes","virat.kohli
Verified
First session after lockdown be like 👀 @cheteshwar_pujara I hope you will go for the ball pujji 😜😜
28w",MAY 5
0,"virat.kohli
Verified
First session after lockdown be like 👀 @cheteshwar_pujara I hope you will go for the ball pujji 😜😜
28w",not known
"688,895 likes","virat.kohli
Verified
Two weeks ago, we started work on India’s biggest concert. To entertain people who are locked-down at home. To pay tribute to those who work on the frontlines while we work from home. And to raise funds for those who have no work and no home. And when we were just days away from the concert, we lost two of our leading lights: #IrrfanKhan and #RishiKapoor. A stark reminder that life is fleeting. We must play our part. And keep the show going. So with a prayer in our hearts and a song on our lips, we bring you #IFORINDIA the concert for our times. 3rd May, 7:30pm IST. Watch it LIVE worldwide on Facebook. 100% of proceeds go to the India COVID Response Fund set up by @give_india
Tune in.
Donate now.
Do your bit.
Link in bio. #SocialForGood
28w",MAY 2
"5,296,649 likes","virat.kohli
Verified
You my love bring light into this world. And you light up my world everyday. I love you ❤️
28w",MAY 1
"2,514,529 likes","virat.kohli
Verified
I'm glad to be doing this with my very dear friend @abdevilliers17 . All details are mentioned below and more will be communicated in time. 🙏🏼😊 #Repost @abdevilliers17
・・・
Cricket has given me many incredible memories - and, among the most precious, stands the partnership with @virat.kohli , playing for RCB and against Gujarat Lions in 2016.

Everything clicked on what was a truly unforgettable night at the IPL. The capacity crowd at the M. Chinnaswamy stadium were going crazy, and we both scored centuries in a partnership of 229 runs from 96 balls. More importantly, RCB won the match by 144 runs.

Now we find ourselves in a global crisis caused by the Covid-19 pandemic, and Virat and I would like to help people in need, people struggling to put food on the table.

So we are donating some of the key items from that special day in 2016 - Virat’s bat and gloves, my shirt and bat - and creating one unique auction item, on the Bid or Buy online platform(link in my bio-type key words in the search button to find the piece). All money raised will be donated to charities supporting people most severely affected by the crisis, split 50/50 between charities working in SA and India.

Immediately after the auction closes on 10 May, 2020, I will personally contact the winner and make arrangements for the package to be delivered to your home.

Take care and stay safe.
29w",APRIL 27
0,"virat.kohli
Verified
I'm glad to be doing this with my very dear friend @abdevilliers17 . All details are mentioned below and more will be communicated in time. 🙏🏼😊 #Repost @abdevilliers17
・・・
Cricket has given me many incredible memories - and, among the most precious, stands the partnership with @virat.kohli , playing for RCB and against Gujarat Lions in 2016.

Everything clicked on what was a truly unforgettable night at the IPL. The capacity crowd at the M. Chinnaswamy stadium were going crazy, and we both scored centuries in a partnership of 229 runs from 96 balls. More importantly, RCB won the match by 144 runs.

Now we find ourselves in a global crisis caused by the Covid-19 pandemic, and Virat and I would like to help people in need, people struggling to put food on the table.

So we are donating some of the key items from that special day in 2016 - Virat’s bat and gloves, my shirt and bat - and creating one unique auction item, on the Bid or Buy online platform(link in my bio-type key words in the search button to find the piece). All money raised will be donated to charities supporting people most severely affected by the crisis, split 50/50 between charities working in SA and India.

Immediately after the auction closes on 10 May, 2020, I will personally contact the winner and make arrangements for the package to be delivered to your home.

Take care and stay safe.
29w",not known
"2,084,955 likes","virat.kohli
Verified
Going live tomorrow at 630 pm, here on Instagram, with my friend AB. Watch us talk about keeping a positive mindset in tough times, current situation world over and THAT 2016 season and this special game in the green jersey. Also there is a surprise from that game coming your way too. See you all tomorrow at 630 pm. 😊
30w",APRIL 23
"1,782,355 likes","virat.kohli
Verified
50,000+ Unacademy Learners! Safe to say that our first ever Live Class @unacademy was a smashing success! 🙌🏼 Have hit sixes on the field before, but knocking this one out of the park was truly exciting. 😊 To all of you, keep dreaming, and keep cracking it! 👊🏼 #letscrackit #learnfromhome #legendsonunacademy
30w",APRIL 21
"1,051,897 likes","virat.kohli
Verified
Dreams have the power to battle all odds! Excited to share our story and the lessons life has taught us, with you, as we take our first ever Live Class. Join us at 6 PM tomorrow! Enroll Now on @unacademy @anushkasharma

#letscrackit #legendsonunacademy #learnfromhome
30w",APRIL 20
"2,672,966 views","virat.kohli
Verified
If you have been a victim, witness or a survivor of the domestic violence, please report. 🙏🏼
#LockdownOnDomesticViolence #Dial100 @cmomaharashtra_ #DGPMaharashtra @adityathackeray @aksharacentreindia
30w",APRIL 19
"6,773,263 views","virat.kohli
Verified
While we're all indoors, it's extremely important to do stuff that makes you feel good. Staying well groomed is one of the things that keeps me in the zone. So I thought of trimming my beard at home and giving myself this new look. 😊

Now I want all of you to take the #TrimAtHome challenge and post your new look! 😎
30w",APRIL 18
0,"virat.kohli
Verified
While we're all indoors, it's extremely important to do stuff that makes you feel good. Staying well groomed is one of the things that keeps me in the zone. So I thought of trimming my beard at home and giving myself this new look. 😊

Now I want all of you to take the #TrimAtHome challenge and post your new look! 😎
30w",not known
